"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","AlertsFunctionality","5","0","","0"
"0","","0","Handling MultipleBrowsers","1","0","","0"
"0","","0","Radio Button","1","0","","0"
"0","","0","Resize page","1","0","","0"
"1","","0","Generic Input Step Framework","1","0","","0"
"0","","0","Input and Output of Files","1","0","","0"
"0","","0","Frames Functionality","2","0","","0"
"0","","0","Modal Dialog","1","0","","0"
"0","","0","Webtable operations","1","0","","0"
"0","","0","Checkbox","1","0","","0"
"0","","0","Sortable Drag and Drop","1","0","","0"
"0","","0","Generic Button Framework","1","0","","0"
